Name,Value
Goods,0
Seafood<br />rocessing,5
High-technology and<br />other manufactures,2.6
Sea<br />minerals,-5.1
Marine fisheries<br />and aquaculture,-9.3
Ships and<br />port equipment,-8.4
,0
Services,0
Maritime transport:<br />freight,4.375605357
Marine<br />R&D,-0.48616916
Port<br />services,-4.035197061
Maritime transport:<br />passengers,-34.58483122
Marine and<br />coastal tourism,-69.70224482
