Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Billions of US dollars",535250377.1,598841197.1,693577443.7,738527475,614731171.1,749536100.1,894966817.7,891470445.8,940953913.7,968367103.2,874726980.3,857327873.7,939716879.7,1015565921,978245589.9,932732708.5,1184002468
"Millions of metric tons",218383.7017,231597.1439,243355.2877,232662.2188,221990.2429,266841.0608,263244.9955,262257.2266,285912.7686,280470.6927,280944.9155,271191.3262,304571.5989,322258.421,316245.554,313969.1241,368682.816
