Name,Value
Goods,0
High-technology and<br />other manufactures,269
Ships and<br />port equipment,258
Marine fisheries<br />and aquaculture,87
Seafood<br />processing,66
Sea<br />minerals,1
,0
Services,0
Maritime transport:<br />freight,312
Marine and<br />coastal tourism,215
Port<br />services,85
Maritime transport:<br />passengers,12
Marine<br />R&D,4
