Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Billions of US dollars",4546454,4643111,4829369,4972408,5486503,5679713,5848805,6197940,7015893,7837170,8860512,9057627,10779202,11439282,11273224,10474430,11442023,12302440,13448356,15409310,16540631
"Millions of metric tons",10595565,10943397,11885634,12614879,13880105,14831256,15652886,16337827,17261653,18655844,20174325,21768367,24667669,27993638,29067572,31073522,31645664,32608436,33433395,34587056,35077578
