Name,India,Türkiye,Thailand,Mexico,Viet Nam,Malaysia,Brazil,Morocco,Chile,Panama
Goods,14403,6362,11131,10379,9635,5450,2112,2898,6462,528
Services,19902,12242,5562,56,190,3831,5296,4496,782,5569
